credit_policy,int_rate,installment,log_annual_inc,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,delinq_2yrs,pub_rec,not_fully_paid,purpose_all_other,purpose_debt_consolidation,purpose_educational,purpose_credit_card,purpose_major_purchase,purpose_home_improvement,purpose_small_business
1,0.1189,829.10,11.3504,19.48,737,5639.96,28854,52.10,0,0,0,0,0,1,0,0,0,0,0
1,0.1071,228.22,11.0821,14.29,707,2760.00,33623,76.70,0,0,0,0,0,0,0,1,0,0,0
1,0.1357,366.86,10.3735,11.63,682,4710.00,3511,25.60,1,0,0,0,0,1,0,0,0,0,0
1,0.1008,162.34,11.3504,8.10,712,2699.96,33667,73.20,1,0,0,0,0,1,0,0,0,0,0
1,0.1426,102.92,11.2997,14.97,667,4066.00,4740,39.50,0,1,0,0,0,0,0,1,0,0,0
1,0.0788,125.13,11.9050,16.98,727,6120.04,50807,51.00,0,0,0,0,0,0,0,1,0,0,0
1,0.1496,194.02,10.7144,4.00,667,3180.04,3839,76.80,0,0,1,1,0,1,0,0,0,0,0
1,0.1114,131.22,11.0021,11.08,722,5116.00,24220,68.60,0,0,0,1,1,0,0,0,0,0,0
1,0.1134,87.19,11.4076,17.25,682,3989.00,69909,51.10,1,0,0,0,0,0,0,0,0,1,0
1,0.1221,84.12,10.2036,10.00,707,2730.04,5630,23.00,1,0,0,0,0,1,0,0,0,0,0
1,0.1347,360.43,10.4341,22.09,677,6713.04,13846,71.00,2,0,1,0,0,1,0,0,0,0,0
1,0.1324,253.58,11.8350,9.16,662,4298.00,5122,18.20,2,1,0,0,0,1,0,0,0,0,0
1,0.0859,316.11,10.9331,15.49,767,6519.96,6068,16.70,0,0,0,0,0,1,0,0,0,0,0
1,0.0714,92.82,11.5129,6.50,747,4384.00,3021,4.80,0,1,0,0,0,0,0,0,0,0,1
1,0.0863,209.54,9.4880,9.73,727,1559.96,6282,44.60,0,0,0,0,0,1,0,0,0,0,0
1,0.1103,327.53,10.7389,13.04,702,8159.96,5394,53.40,1,0,0,0,0,0,0,0,1,0,0
1,0.1317,77.69,10.5228,2.26,672,3895.96,2211,88.40,0,0,0,0,1,0,0,0,0,0,0
1,0.0894,476.58,11.6082,7.07,797,6510.96,7586,52.70,1,0,0,0,0,0,0,1,0,0,0
1,0.1039,584.12,10.4913,3.80,712,2760.00,8311,59.80,0,0,0,0,0,1,0,0,0,0,0
1,0.1513,173.65,11.0021,2.74,667,1126.96,591,84.40,3,0,0,0,0,0,0,0,1,0,0
1,0.0800,188.02,11.2252,16.08,772,4888.96,29797,23.20,1,0,0,0,1,0,0,0,0,0,0
1,0.0863,474.42,10.8198,2.59,797,11951.00,5656,27.60,0,0,0,0,1,0,0,0,0,0,0
1,0.1355,339.60,11.5129,7.94,662,1939.96,21162,57.70,0,0,0,0,0,0,0,1,0,0,0
1,0.0788,484.85,11.7361,7.05,782,5640.04,16931,34.60,1,0,0,0,0,0,0,1,0,0,0
1,0.1229,320.19,11.2645,8.80,672,3760.96,4822,58.10,0,0,1,0,0,1,0,0,0,0,0
1,0.0901,159.03,12.4292,10.00,712,1553.96,14354,36.60,0,2,0,0,1,0,0,0,0,0,0
1,0.0743,155.38,11.0821,0.28,802,4649.96,1576,5.70,1,0,0,0,1,0,0,0,0,0,0
1,0.1375,255.43,9.9988,14.29,662,1318.96,4175,51.50,0,1,0,0,0,1,0,0,0,0,0
1,0.0743,155.38,12.2061,0.28,772,4516.96,3164,13.70,0,0,0,0,1,0,0,0,0,0,0
1,0.0743,155.38,12.2061,3.72,812,6778.96,85607,0.70,0,0,0,0,1,0,0,0,0,0,0
1,0.0807,156.84,11.5129,2.30,742,3148.96,9698,19.40,0,0,0,0,0,1,0,0,0,0,0
1,0.1028,275.38,9.7981,6.40,692,7469.96,8847,26.90,1,1,0,0,0,0,0,1,0,0,0
1,0.0743,155.38,11.9184,0.00,777,7128.96,6053,19.50,0,0,0,0,0,0,0,0,0,1,0
1,0.0807,78.42,11.6082,11.33,762,6059.96,7274,13.10,0,0,0,0,0,0,0,0,0,1,0
1,0.0870,158.30,11.2252,15.55,757,4770.00,66033,23.00,0,0,0,0,0,0,0,1,0,0,0
